name,email,password,school,sex,age,first_year_marks_percentage,second_year_marks_percentage,third_year_marks_percentage,first_year_attendance,second_year_attendance,overall_performance,attendance_improvement,total_courses_enrolled,average_course_completion,daily_study_hours,average_monthly_performance,Web Development_enrolled,PowerBI_enrolled,C++ DSA_enrolled,Python_enrolled,Java_enrolled,MongoDB_enrolled,Machine Learning_enrolled,Web Development_completion,PowerBI_completion,C++ DSA_completion,Python_completion,Java_completion,MongoDB_completion,Machine Learning_completion,Web Development_teacher_completion,PowerBI_teacher_completion,C++ DSA_teacher_completion,Python_teacher_completion,Java_teacher_completion,MongoDB_teacher_completion,Machine Learning_teacher_completion
Varsha,varsha@gmail.com,varsha6106,GP,F,18,25.0,30.0,30.0,64,67,28.333333333333332,3,3,12.142857142857142,7,86.75139029028428,1,0,0,1,0,1,0,23,0,0,28,0,34,0,46,0,0,30,0,97,0
Varsha,varsha@gmail.com,varsha8052,GP,F,17,30.0,30.0,35.0,92,96,31.666666666666668,4,3,11.142857142857142,2,84.44944374493775,1,1,0,0,0,0,1,6,37,0,0,0,0,35,91,59,0,0,0,0,73
Mary,mary@gmail.com,mary8790,GP,F,15,30.0,35.0,45.0,53,50,36.666666666666664,-3,5,27.857142857142858,2,61.09773281662303,1,1,0,0,1,1,1,0,53,0,0,41,57,44,30,82,0,0,98,90,95
Mary,mary@gmail.com,mary1453,GP,F,15,80.0,75.0,80.0,96,97,78.33333333333333,1,4,46.57142857142857,8,89.3751610429106,0,1,0,0,1,1,1,0,74,0,0,84,89,79,0,93,0,0,100,95,95
Khushi,khushi@gmail.com,khushi4126,GP,F,16,35.0,55.00000000000001,55.00000000000001,95,91,48.333333333333336,-4,5,38.714285714285715,5,79.58756117580536,1,1,0,1,0,1,1,42,0,0,75,0,86,68,71,6,0,89,0,87,98
Ansh,ansh@gmail.com,ansh3135,GP,M,16,75.0,75.0,75.0,78,83,75.0,5,5,28.714285714285715,8,66.23047731756716,0,1,1,1,1,1,0,0,92,46,25,17,21,0,0,96,75,70,88,61,0
Abdul,abdul@gmail.com,abdul5808,GP,M,16,55.00000000000001,55.00000000000001,50.0,52,53,53.333333333333336,1,4,23.714285714285715,5,87.07154658167335,0,1,0,1,1,0,1,0,72,0,71,21,0,2,0,91,0,89,85,0,39
Preeti,preeti@gmail.com,preeti7045,GP,F,17,30.0,25.0,30.0,62,62,28.333333333333332,0,5,41.142857142857146,8,71.55565781904018,1,1,1,0,0,1,1,62,57,90,0,0,58,21,78,91,97,0,0,69,63
Vivek,vivek@gmail.com,vivek5106,GP,M,15,80.0,90.0,95.0,69,70,88.33333333333333,1,5,46.42857142857143,6,89.77572237836468,1,1,1,0,0,1,1,61,50,87,0,0,64,63,75,76,87,0,0,81,68
Abdul,abdul@gmail.com,abdul6631,GP,M,15,75.0,80.0,80.0,100,100,78.33333333333333,0,5,25.714285714285715,1,65.54158489957888,1,1,0,1,0,1,1,94,3,0,3,0,52,28,98,23,0,29,0,100,65
Preeti,preeti@gmail.com,preeti8549,GP,F,15,50.0,40.0,45.0,62,61,45.0,-1,3,14.857142857142858,3,89.16487394690486,1,0,1,0,0,0,1,14,0,35,0,0,0,55,77,0,85,0,0,0,83
Mary,mary@gmail.com,mary4116,GP,F,15,55.00000000000001,65.0,65.0,99,96,61.666666666666664,-3,4,49.285714285714285,1,67.93006341156898,1,1,0,1,0,1,0,100,68,0,99,0,78,0,100,85,0,99,0,87,0
Piyush,piyush@gmail.com,piyush6043,GP,M,15,65.0,65.0,65.0,57,58,65.0,1,5,36.714285714285715,5,87.98988695613852,1,1,1,1,0,0,1,96,4,53,81,0,0,23,98,6,62,94,0,0,35
Karan,karan@gmail.com,karan8714,GP,M,15,45.0,45.0,50.0,57,53,46.666666666666664,-4,5,26.0,1,60.931193564244495,0,1,0,1,1,1,1,0,32,0,16,88,5,41,0,85,0,75,95,32,48
Ansh,ansh@gmail.com,ansh8896,GP,M,15,70.0,80.0,80.0,71,73,76.66666666666667,2,5,26.0,3,71.5284954440534,1,1,0,1,1,1,0,29,46,0,24,60,23,0,68,60,0,55,76,26,0
Mary,mary@gmail.com,mary5413,GP,F,16,70.0,70.0,70.0,78,79,70.0,1,4,33.142857142857146,7,80.89851063922059,1,0,1,0,0,1,1,4,0,76,0,0,78,74,6,0,78,0,0,95,91
Khushi,khushi@gmail.com,khushi4904,GP,F,16,65.0,70.0,70.0,78,80,68.33333333333333,2,3,20.714285714285715,3,80.7618423467921,0,1,0,1,0,0,1,0,67,0,33,0,0,45,0,78,0,38,0,0,80
Preeti,preeti@gmail.com,preeti1793,GP,F,16,40.0,50.0,50.0,68,73,46.666666666666664,5,5,30.857142857142858,4,62.013076222125335,1,0,1,0,1,1,1,13,0,63,0,69,52,19,45,0,77,0,93,92,43
Karan,karan@gmail.com,karan7611,GP,M,17,30.0,25.0,25.0,60,61,26.666666666666668,1,4,19.0,5,79.10322233402312,0,1,1,0,1,0,1,0,58,17,0,44,0,14,0,80,47,0,88,0,93
Anshul,anshul@gmail.com,anshul6355,GP,M,16,45.0,55.00000000000001,55.00000000000001,98,100,51.666666666666664,2,5,58.285714285714285,6,83.91022573712759,1,1,1,1,1,0,0,41,83,95,96,93,0,0,58,93,97,100,94,0,0
Ansh,ansh@gmail.com,ansh6550,GP,M,15,60.0,65.0,70.0,54,58,65.0,4,5,51.714285714285715,8,70.88190242905686,0,1,1,1,0,1,1,0,55,100,79,0,75,53,0,74,100,85,0,99,100
Piyush,piyush@gmail.com,piyush4934,GP,M,15,65.0,80.0,80.0,93,93,75.0,0,3,10.142857142857142,4,69.61686316201288,1,1,0,1,0,0,0,50,16,0,5,0,0,0,79,53,0,16,0,0,0
Karan,karan@gmail.com,karan3588,GP,M,16,70.0,70.0,75.0,56,52,71.66666666666667,-4,5,30.714285714285715,2,67.93176886437921,0,1,1,1,0,1,1,0,73,10,22,0,11,99,0,88,37,65,0,70,100
Karan,karan@gmail.com,karan5968,GP,M,16,65.0,65.0,60.0,71,71,63.333333333333336,0,5,29.0,4,72.64444108284813,1,0,1,1,0,1,1,53,0,43,32,0,40,35,53,0,84,62,0,89,97
Mary,mary@gmail.com,mary2364,GP,F,15,50.0,45.0,40.0,66,64,45.0,-2,5,40.57142857142857,2,78.93210999159726,1,0,0,1,1,1,1,88,0,0,7,70,83,36,93,0,0,58,78,98,49
Mary,mary@gmail.com,mary9370,GP,F,16,30.0,45.0,40.0,80,75,38.333333333333336,-5,3,31.857142857142858,8,87.64804112060517,0,0,1,0,1,0,1,0,0,83,0,62,0,78,0,0,98,0,74,0,94
Vivek,vivek@gmail.com,vivek2531,GP,M,15,60.0,60.0,55.00000000000001,74,78,58.333333333333336,4,4,31.428571428571427,1,68.67843254350085,0,1,0,0,1,1,1,0,88,0,0,53,46,33,0,99,0,0,53,66,63
Anshul,anshul@gmail.com,anshul3618,GP,M,15,75.0,80.0,75.0,74,70,76.66666666666667,-4,3,17.428571428571427,3,80.30724531083871,1,0,0,0,1,0,1,63,0,0,0,38,0,21,88,0,0,0,94,0,81
Anshul,anshul@gmail.com,anshul8789,GP,M,16,60.0,60.0,60.0,99,100,60.0,1,5,40.857142857142854,6,89.63337461140895,1,0,1,1,1,1,0,96,0,96,33,48,13,0,96,0,98,74,63,79,0
Anshul,anshul@gmail.com,anshul5201,GP,M,16,55.00000000000001,65.0,60.0,98,96,60.0,-2,4,27.0,4,63.20972536600438,1,1,0,0,1,0,1,74,86,0,0,26,0,3,97,100,0,0,100,0,18
Ansh,ansh@gmail.com,ansh9438,GP,M,15,45.0,55.00000000000001,60.0,61,62,53.333333333333336,1,4,37.142857142857146,2,74.36001934919247,1,1,1,1,0,0,0,66,75,60,59,0,0,0,100,90,76,89,0,0,0
Ram,ram@gmail.com,ram2017,GP,M,15,80.0,75.0,80.0,52,47,78.33333333333333,-5,3,19.571428571428573,1,78.30759121941512,1,1,0,1,0,0,0,28,78,0,31,0,0,0,84,98,0,97,0,0,0
Vivek,vivek@gmail.com,vivek8637,GP,M,15,85.0,80.0,80.0,65,69,81.66666666666667,4,3,18.857142857142858,4,66.11801711962966,0,1,0,1,0,1,0,0,18,0,35,0,79,0,0,35,0,69,0,93,0
Ansh,ansh@gmail.com,ansh7114,GP,M,15,35.0,45.0,55.00000000000001,52,52,45.0,0,5,43.857142857142854,1,61.8958958910617,1,1,0,0,1,1,1,42,60,0,0,31,77,97,52,65,0,0,84,93,97
Vivek,vivek@gmail.com,vivek4407,GP,M,16,55.00000000000001,65.0,70.0,53,51,63.333333333333336,-2,4,26.0,2,75.43607020061819,1,0,1,0,0,1,1,96,0,25,0,0,27,34,100,0,33,0,0,56,80
Varsha,varsha@gmail.com,varsha6467,GP,F,15,35.0,30.0,25.0,53,57,30.0,4,4,36.857142857142854,4,74.45405596468348,1,0,1,1,0,0,1,95,0,81,35,0,0,47,95,0,87,87,0,0,93
Ansh,ansh@gmail.com,ansh5348,GP,M,15,75.0,80.0,90.0,87,82,81.66666666666667,-5,5,44.285714285714285,3,66.04408665373944,0,1,1,1,1,1,0,0,79,42,89,28,72,0,0,91,56,92,95,76,0
Ram,ram@gmail.com,ram7857,GP,M,16,75.0,80.0,75.0,65,68,76.66666666666667,3,4,36.42857142857143,4,87.04404828092387,0,0,1,1,0,1,1,0,0,31,80,0,52,92,0,0,100,98,0,96,95
Mary,mary@gmail.com,mary2932,GP,F,15,60.0,60.0,55.00000000000001,72,76,58.333333333333336,4,3,31.428571428571427,8,62.10733041940818,0,0,1,0,1,0,1,0,0,84,0,71,0,65,0,0,87,0,83,0,88
Varsha,varsha@gmail.com,varsha8279,GP,F,15,70.0,65.0,65.0,73,77,66.66666666666667,4,5,58.0,6,75.06679209345971,1,1,1,0,0,1,1,91,60,94,0,0,73,88,98,99,100,0,0,78,92
Khushi,khushi@gmail.com,khushi5280,GP,F,16,35.0,50.0,55.00000000000001,89,94,46.666666666666664,5,3,27.285714285714285,3,75.7176137171664,0,0,1,0,1,1,0,0,0,67,0,64,60,0,0,0,97,0,74,98,0
Vivek,vivek@gmail.com,vivek9923,GP,M,15,60.0,60.0,60.0,90,90,60.0,0,5,41.142857142857146,7,79.13474060877846,1,1,0,1,1,1,0,31,31,0,36,100,90,0,56,32,0,83,100,100,0
Ram,ram@gmail.com,ram8923,GP,M,15,90.0,85.0,85.0,59,59,86.66666666666667,0,5,31.142857142857142,1,70.89478557182966,0,1,1,1,0,1,1,0,67,11,51,0,68,21,0,77,37,83,0,76,75
Ram,ram@gmail.com,ram4739,GP,M,15,35.0,35.0,50.0,51,54,40.0,3,4,30.142857142857142,2,64.9168553447242,0,1,1,0,1,1,0,0,72,79,0,20,40,0,0,73,79,0,23,42,0
Varsha,varsha@gmail.com,varsha7417,GP,F,16,50.0,50.0,45.0,65,60,48.333333333333336,-5,3,20.285714285714285,3,81.8217043337456,0,1,1,0,0,0,1,0,49,15,0,0,0,78,0,56,99,0,0,0,100
Varsha,varsha@gmail.com,varsha8771,GP,F,15,45.0,45.0,35.0,91,91,41.666666666666664,0,5,62.57142857142857,8,89.96966521697614,1,0,1,1,1,1,0,98,0,94,83,79,84,0,98,0,98,94,89,85,0
Manisha,manisha@gmail.com,manisha6385,GP,F,16,50.0,55.00000000000001,50.0,57,56,51.666666666666664,-1,4,32.42857142857143,5,77.50351185580597,1,1,0,1,1,0,0,14,94,0,91,28,0,0,32,100,0,93,31,0,0
Piyush,piyush@gmail.com,piyush6555,GP,M,16,95.0,95.0,100.0,78,75,96.66666666666667,-3,5,18.428571428571427,5,71.68891840478845,1,1,0,1,1,1,0,7,6,0,36,62,18,0,82,25,0,54,80,51,0
Abdul,abdul@gmail.com,abdul7533,GP,M,15,70.0,70.0,65.0,51,54,68.33333333333333,3,4,14.714285714285714,8,78.92744499857896,0,1,0,1,1,0,1,0,0,0,7,56,0,40,0,35,0,90,65,0,42
Preeti,preeti@gmail.com,preeti2326,GP,F,15,35.0,35.0,35.0,82,85,35.0,3,3,12.142857142857142,1,80.38332645138928,0,1,0,1,1,0,0,0,27,0,34,24,0,0,0,78,0,41,43,0,0
Khushi,khushi@gmail.com,khushi8912,GP,F,16,55.00000000000001,60.0,60.0,59,64,58.333333333333336,5,4,32.285714285714285,3,61.519375835942085,1,0,0,1,1,0,1,61,0,0,33,68,0,64,67,0,0,85,92,0,93
Preeti,preeti@gmail.com,preeti9605,GP,F,15,55.00000000000001,65.0,65.0,62,67,61.666666666666664,5,4,32.857142857142854,5,63.611760723882384,0,1,1,0,1,1,0,0,56,55,0,77,42,0,0,86,76,0,88,91,0
Abdul,abdul@gmail.com,abdul5985,GP,M,15,55.00000000000001,55.00000000000001,50.0,61,61,53.333333333333336,0,4,34.57142857142857,3,89.92509025773903,0,1,0,0,1,1,1,0,7,0,0,100,87,48,0,66,0,0,100,93,77
Mary,mary@gmail.com,mary8196,GP,F,15,40.0,50.0,55.00000000000001,86,84,48.333333333333336,-2,5,25.0,7,63.88739081025786,1,0,1,1,0,1,1,38,0,84,15,0,11,27,74,0,84,58,0,80,61
Varsha,varsha@gmail.com,varsha1802,GP,F,15,55.00000000000001,70.0,70.0,100,99,65.0,-1,3,26.714285714285715,6,75.54002149829714,0,0,0,1,1,1,0,0,0,0,85,44,58,0,0,0,0,96,88,97,0
Khushi,khushi@gmail.com,khushi8485,GP,F,16,45.0,50.0,55.00000000000001,95,91,50.0,-4,4,31.857142857142858,3,85.1544954595898,1,0,1,0,1,1,0,18,0,64,0,94,47,0,19,0,72,0,95,49,0
Manisha,manisha@gmail.com,manisha2449,GP,F,15,70.0,75.0,75.0,64,65,73.33333333333333,1,5,44.42857142857143,6,74.80884722623065,1,1,1,0,1,1,0,72,3,92,0,53,91,0,74,37,93,0,62,100,0
Ram,ram@gmail.com,ram1767,GP,M,15,75.0,80.0,80.0,98,100,78.33333333333333,2,5,16.714285714285715,7,66.17886877735964,0,1,1,0,1,1,1,0,0,2,0,42,51,22,0,70,19,0,72,58,37
Piyush,piyush@gmail.com,piyush2674,GP,M,15,40.0,45.0,40.0,58,58,41.666666666666664,0,3,10.857142857142858,2,88.31500992915646,1,1,0,1,0,0,0,12,56,0,8,0,0,0,39,68,0,78,0,0,0
Mary,mary@gmail.com,mary5174,GP,F,16,75.0,80.0,80.0,85,82,78.33333333333333,-3,5,49.714285714285715,1,83.42968554866144,0,1,1,1,1,0,1,0,57,74,84,72,0,61,0,59,100,92,91,0,96
Preeti,preeti@gmail.com,preeti8106,GP,F,16,55.00000000000001,60.0,60.0,91,96,58.333333333333336,5,5,43.285714285714285,5,63.41286847462872,1,1,0,1,1,0,1,20,86,0,92,23,0,82,69,93,0,100,82,0,94
Varsha,varsha@gmail.com,varsha3636,GP,F,16,50.0,40.0,55.00000000000001,68,72,48.333333333333336,4,3,24.714285714285715,2,83.03739469777305,1,0,1,0,0,1,0,14,0,61,0,0,98,0,93,0,89,0,0,100,0
Preeti,preeti@gmail.com,preeti8225,GP,F,16,45.0,55.00000000000001,50.0,98,94,50.0,-4,4,34.0,4,70.08062859522273,0,0,1,1,1,0,1,0,0,74,72,68,0,24,0,0,89,83,78,0,52
Preeti,preeti@gmail.com,preeti3176,GP,F,16,45.0,40.0,40.0,50,50,41.666666666666664,0,5,28.428571428571427,3,78.63639611360799,1,1,1,0,0,1,1,12,77,43,0,0,6,61,26,92,52,0,0,31,82
Preeti,preeti@gmail.com,preeti2774,GP,F,15,50.0,50.0,50.0,69,72,50.0,3,3,24.714285714285715,4,88.5418082053844,0,0,1,0,1,0,1,0,0,32,0,48,0,93,0,0,93,0,78,0,93
Manisha,manisha@gmail.com,manisha5010,GP,F,16,85.0,80.0,80.0,98,95,81.66666666666667,-3,3,22.428571428571427,2,62.36318842309848,0,0,0,1,1,1,0,0,0,0,64,49,44,0,0,0,0,76,78,63,0
