name,email,password,school,sex,age,first_year_marks_percentage,second_year_marks_percentage,third_year_marks_percentage,first_year_attendance,second_year_attendance,overall_performance,attendance_improvement,total_courses_enrolled,average_course_completion,Web Development_enrolled,PowerBI_enrolled,C++ DSA_enrolled,Python_enrolled,Java_enrolled,MongoDB_enrolled,Machine Learning_enrolled,Web Development_completion,PowerBI_completion,C++ DSA_completion,Python_completion,Java_completion,MongoDB_completion,Machine Learning_completion
Varsha,varsha@gmail.com,varsha6106,GP,F,18,25.0,30.0,30.0,64.0,68.0,28.333333333333332,4.0,5,41.857142857142854,0,0,1,1,1,1,1,0,0,59,42,74,19,99
Varsha,varsha@gmail.com,varsha8052,GP,F,17,30.0,30.0,35.0,92.0,95.0,31.666666666666668,3.0,3,12.428571428571429,1,0,1,0,0,1,0,1,0,8,0,0,78,0
Mary,mary@gmail.com,mary8790,GP,F,15,30.0,35.0,45.0,53.0,52.0,36.666666666666664,-1.0,4,35.0,1,1,0,0,1,0,1,34,83,0,0,62,0,66
Mary,mary@gmail.com,mary1453,GP,F,15,80.0,75.0,80.0,96.0,100.0,78.33333333333333,4.0,4,38.285714285714285,1,0,1,1,0,0,1,64,0,85,51,0,0,68
Khushi,khushi@gmail.com,khushi4126,GP,F,16,35.0,55.00000000000001,55.00000000000001,95.0,91.0,48.333333333333336,-4.0,5,43.57142857142857,1,1,0,1,0,1,1,35,35,0,80,0,67,88
Ansh,ansh@gmail.com,ansh3135,GP,M,16,75.0,75.0,75.0,78.0,82.0,75.0,4.0,5,22.142857142857142,1,1,1,0,0,1,1,37,3,22,0,0,36,57
Abdul,abdul@gmail.com,abdul5808,GP,M,16,55.00000000000001,55.00000000000001,50.0,52.0,54.0,53.333333333333336,2.0,4,25.285714285714285,0,1,1,1,0,1,0,0,63,69,16,0,29,0
Preeti,preeti@gmail.com,preeti7045,GP,F,17,30.0,25.0,30.0,62.0,64.0,28.333333333333332,2.0,4,26.714285714285715,1,0,1,1,1,0,0,39,0,87,53,8,0,0
Vivek,vivek@gmail.com,vivek5106,GP,M,15,80.0,90.0,95.0,69.0,71.0,88.33333333333333,2.0,3,32.42857142857143,0,1,0,0,0,1,1,0,96,0,0,0,36,95
Abdul,abdul@gmail.com,abdul6631,GP,M,15,75.0,80.0,80.0,100.0,96.0,78.33333333333333,-4.0,5,37.142857142857146,1,1,0,1,0,1,1,16,36,0,81,0,46,81
